date,new_cases_per_million,total_cases_per_million,total_deaths_per_million,new_vaccinations_smoothed_per_million
2020-09-06,7.997000000000001,3004.49,111.35799999999999,
2020-09-07,22.654,3027.143,111.37,
2020-09-08,15.886,3043.0290000000005,111.429,
2020-09-09,17.617,3060.6459999999997,111.501,
2020-09-10,20.480999999999998,3081.127,111.537,
2020-09-11,18.93,3100.0570000000002,111.573,
2020-09-12,12.914000000000001,3112.9709999999995,111.62,
2020-09-13,10.981,3123.952,111.64399999999999,
2020-09-14,17.724,3141.676,111.66799999999999,
2020-09-15,21.388,3163.0640000000003,111.79899999999999,
2020-09-16,22.14,3185.205,111.87100000000001,
2020-09-17,26.006999999999998,3211.212,111.90700000000001,
2020-09-18,26.246,3237.458,112.02600000000001,
2020-09-19,20.111,3257.5690000000004,112.05,
2020-09-20,12.329,3269.8990000000003,112.074,
2020-09-21,19.037,3288.9359999999997,112.074,
2020-09-22,22.104,3311.04,112.25299999999999,
2020-09-23,19.252,3330.292,112.46799999999999,
2020-09-24,27.701999999999998,3357.994,112.62299999999999,
2020-09-25,28.239,3386.2329999999997,112.802,
2020-09-26,15.683,3401.917,112.898,
2020-09-27,15.671,3417.5879999999997,112.95700000000001,
2020-09-28,27.355999999999998,3444.9440000000004,113.005,
2020-09-29,21.961,3466.905,113.184,
2020-09-30,29.146,3496.052,113.32700000000001,
2020-10-01,31.343000000000004,3527.3940000000002,113.494,
2020-10-02,33.836999999999996,3561.2309999999998,113.602,
2020-10-03,19.729,3580.961,113.757,
2020-10-04,18.452,3599.413,113.781,
2020-10-05,37.0,3636.413,114.031,
2020-10-06,29.29,3665.702,114.175,
2020-10-07,47.861000000000004,3713.563,114.366,
2020-10-08,57.338,3770.901,114.509,
2020-10-09,54.354,3825.256,114.568,
2020-10-10,35.424,3860.68,114.819,
2020-10-11,33.968,3894.6479999999997,114.891,
2020-10-12,78.07,3972.718,115.05799999999999,
2020-10-13,53.28,4025.998,115.559,
2020-10-14,85.613,4111.611,115.965,
2020-10-15,90.948,4202.559,116.23899999999999,
2020-10-16,91.84299999999999,4294.403,116.645,
2020-10-17,58.03,4352.433,116.788,
2020-10-18,47.825,4400.258,116.944,
2020-10-19,100.22200000000001,4500.48,117.469,
2020-10-20,101.726,4602.206,117.946,
2020-10-21,147.17600000000002,4749.3820000000005,118.292,
2020-10-22,71.04,4820.4220000000005,118.87700000000001,
2020-10-23,160.842,4981.265,119.09200000000001,
2020-10-24,124.821,5106.085999999999,119.772,
2020-10-25,118.042,5224.127,120.095,
2020-10-26,149.909,5374.036999999999,120.441,
2020-10-27,157.083,5531.119000000001,120.79899999999999,
2020-10-28,193.378,5724.4980000000005,121.95700000000001,
2020-10-29,223.58700000000002,5948.085,122.995,
2020-10-30,231.333,6179.418000000001,124.021,
2020-10-31,167.74099999999999,6347.159000000001,125.119,
2020-11-01,149.862,6497.02,125.478,
2020-11-02,301.394,6798.415,127.339,
2020-11-03,89.91,6888.3240000000005,127.912,
2020-11-04,375.728,7264.053000000001,130.681,
2020-11-05,269.276,7533.329000000001,132.60299999999998,
2020-11-06,272.367,7805.696,134.155,
2020-11-07,168.553,7974.249,134.942,
2020-11-08,173.18400000000003,8147.432,135.73,
2020-11-09,77.843,8225.275,136.16,
2020-11-10,316.851,8542.126,140.612,
2020-11-11,267.366,8809.492,143.154,
2020-11-12,295.259,9104.752,145.804,
2020-11-13,265.695,9370.447,148.047,
2020-11-14,174.735,9545.181999999999,149.325,
2020-11-15,38.349000000000004,9583.530999999999,150.065,
2020-11-16,174.019,9757.55,153.168,
2020-11-17,313.079,10070.629,156.808,
2020-11-18,283.193,10353.821,159.816,
